cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,first_meet,4052,sys_0&sys_4&high_999,“——呀”\n轻快的声音随着白色的身影跳跃到身边\n“你好啊，博士”\n“我的申请，想必已经收到了吧”\n“蒂拉，原本属于黑钢国际先遣小队的蒂拉”\n“从今天起就以寻澜为代号在这里了”\n
2,chat,4052,high_2&sys_0&CVP_A2_G_GE_0,“——呀，是来专程找我的吗”\n“还是只是恰好路过”
3,chat,4052,high_2&sys_0&CVP_A2_G_GE_0,“想要坚果吗？”\n“作为野营的纪念品，还不错对吧”
4,chat,4052,high_2&sys_0&CVP_A2_G_GE_0,“报告啊——”\n“那种东西果然是不想做啊，罗德岛的规矩要是能不那么死板就更好了”
5,chat,4052,high_2&sys_0&CVP_A2_G_GE_0,“想要提升和我的关系吗——”\n“那么，年假涨一倍怎么样”
6,chat,4052,high_2&sys_0&CVP_A2_G_GE_0,“就在这里带着吗”\n“不出去走走吗”\n“一直呆在同一个地方，心情不会变的烦闷吗”
7,chat,4052,high_2&sys_0&CVP_A2_G_GE_0,“不考虑改善一下这里的光照吗”\n“虽然灯光是足够的，但还是阳光更能让人安静下来”
8,chat_failed,4052,high_2&sys_0&CVP_A2_G_GE_0,“——嗯~”\n“还差一点哦，再努力一点，说不定就能发现有趣的话题了”
9,chat_failed,4052,high_2&sys_0&CVP_A2_G_GE_0,“——嗯，比起这个”\n“不想试试吃点罐头吗”
10,chat,4052,sys_0&high_5&CVP_A2_G_GE_1,“杰西卡小姐吗”\n“我和她们不怎么熟悉呢”\n“或者说她们不怎么熟悉我，在黑钢的时候本身也没什么交集”\n“不过你要是打听她们的情况，我说不定还是能透露给你一些一手情报”
11,chat,4052,sys_0&high_5&CVP_A2_G_GE_1,“为什么喜欢野营”\n“——嗯，怎么说呢，大概是在外面的时候会有一种精神上的宁静感吧”\n“要是被关在狭小的空间里会坐立不安吧”
12,chat,4052,sys_0&high_5&CVP_A2_G_GE_1,“作为（前）情报人员，我的追踪能力是很强的”\n“即使是警察这样的，想要甩掉我的追踪也是非常困难的”\n“诶？不相信吗，那么要来试一试吗”
13,chat,4052,sys_0&high_5&CVP_A2_G_GE_1,“有什么好消息要带给我吗”\n“加薪？假期？”\n“或者有什么有趣的，可以一起去的旅行目的地”
14,chat,4052,sys_0&high_5&CVP_A2_G_GE_1,“下次派我出任务的时候，还是小一点的队伍比较好”\n“我不是那么喜欢人群啊”\n“啊，对了，下次我带着你一起去吧”\n“就我们两个人不也挺好的吗”
15,chat,4052,sys_0&high_5&CVP_A2_G_GE_1,“如果没做情报工作我会去干什么？”\n“”嗯——，这个还从没有想过呢\n“也许是画家？”\n“理由？没有什么理由，直觉罢了”
16,chat_failed,4052,sys_0&love_1&high_5,“欸？没在听吗”\n“……”\n“错觉吧”
17,chat_failed,4052,sys_0&love_1&high_5,“没有更多有趣的话题吗”
18,chat,4052,sys_0&CVP_A2_G_GE_2&high_10,“喜欢吗，我的这件衣服”\n“有没有一种，青色的鸟儿从白色的壳中破壳而出，飞向天空的感觉？”
19,chat,4052,sys_0&CVP_A2_G_GE_2&high_10,“黑钢的伙伴吗，嗯，都是些很有趣的朋友”\n“多和她们打招呼吗？”\n“——嗯，还是不必了，不想打扰到她们”\n“或者说，不想被她们打扰到”\n“特别是你在身旁的时候”
20,chat,4052,sys_0&CVP_A2_G_GE_2&high_10,“去侦察的时候有什么有趣的事情吗？”\n“嗯——，不是很能回忆起来呢”\n“也就是因为隐藏的太完美，被人误以为是幽灵之类的事情吧”\n“还是在这里有趣的事情更多一点吧”
21,chat,4052,sys_0&CVP_A2_G_GE_2&high_10,“野营很有趣啊，这不是显而易见的事情吗”\n“比起关在不见天日的小屋里做着重复的工作，当然还是在野外的感觉更舒服”\n“——嗯，对，应该说，自由的感觉”\n“就是这样”\n“这么说来，我还是真的同情会在狭小的石棺里关了不知道多久的家伙啊”
22,chat,4052,sys_0&CVP_A2_G_GE_2&high_10,“和你了解到的一样，我是在在养父母家里长大的”\n“不知道是幸运还是不幸呢，我对亲生父母只剩下了模糊的记忆”\n“也许就是因为这样的缘由，时常会想去寻找真正的自己”\n“怎么样，要来帮我的忙吗”
23,chat,4052,sys_0&CVP_A2_G_GE_2&high_10,“嗯？又来尝试追求我了吗”\n“作为一个奇怪的医药企业的领导人总是一幅不怎么可靠的样子”\n“但要是作为一起旅行的旅伴或许还不错呢”\n“怎么样，下次一起去看落日吧”\n“跑到没人的地方”\n“还是说，更加柔和的月光更合你的心意？”
24,chat_failed,4052,sys_0&CVP_A2_G_GE_2&high_10,“窘迫感写在脸上了哦”\n“没必要这么心急的”
25,chat_failed,4052,sys_0&CVP_A2_G_GE_2&high_10,“搭讪女孩子和钓鱼一样”\n“千万不能心急哦”
26,chat,4052,sys_0&high_10&CVP_A2_G_GE_3&high_5,“——蒂拉”\n“没错，只能叫我的名字。”\n“代号什么的，不是给你使用的”\n“对，私下也好，人前也好，只有叫我蒂拉我才或回应哦”
27,chat,4052,sys_0&high_10&CVP_A2_G_GE_3&high_5,“叔父叔母吗”\n“——嗯，对我来说还真是复杂呢”\n“虽然模糊的感觉自己并不属于那里的样子，但他们对我来说也是家人”\n“要是带着男朋友回去，家人的感觉恐怕就更浓了”\n“怎么样，下次就回去吧”
28,chat,4052,sys_0&high_10&CVP_A2_G_GE_3&high_5,“你会不会，有时候会冒出‘能在罗德岛真是太好了’这样的感觉呢”\n“我可是会的”\n“嗯？为什么呢？”\n“这不是明知故问吗”
29,chat,4052,sys_0&high_10&CVP_A2_G_GE_3&high_5,“回忆是很重要的啊”\n“有想要忘掉的事，也有想要记住的事”\n“可是回忆总是不遵循人的愿望啊”\n“比起那些回忆，现在的我更想要创造新的回忆”\n“和黑钢的诸位的回忆，和罗德岛的各位的回忆”\n“还有……”
30,chat,4052,sys_0&high_10&CVP_A2_G_GE_3&high_5,“真是左右为难啊”\n“外出任务确实是我的本职工作，也是能让我找到真正的自己的事情”\n“可是现在又多了让我放心不下的……”\n“没有我在的话，会感觉寂寞吗”
31,chat,4052,sys_0&high_10&CVP_A2_G_GE_3&high_5,“为什么会喜欢野外的日子？”\n“我想大概是天性吧”\n“就像鸟儿一定要冲破壳的束缚向天空张开翅膀一样”\n“啊，对了，下次一起去吧”\n“如果你一定要推脱‘日常事务太多’、‘野外的工作太容易出危险’什么的”\n“——嗯，说不定我也会原谅你的”\n
